id,quelle,betreiber,ladeeinr_art,plz_ort,adresse,ladeart,bemerkungen,anschlussltg_kw,steckertyp_1,p1_kw,steckertyp_2,p2_kw,steckertyp_3,p3_kw,steckertyp_4,p4_kw,inbetrieb_am,x_wert,y_wert
866,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
867,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
868,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
869,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
870,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Albert-Einstein-Straße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-04T00:00:00,400571.08251307276,5809949.8645910909
871,bnetza,BTB Blockheizkraftwerks- Träger- und Betreibergesellschaft mbH Berlin,Normalladeeinrichtung,12489 Berlin,Johann-Hittorf-Straße 8,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2020-01-27T00:00:00,399569.64865428093,5810045.3372424869
872,bnetza,BTB Blockheizkraftwerks- Träger- und Betreibergesellschaft mbH Berlin,Normalladeeinrichtung,12489 Berlin,Justus-von-Liebig-Straße 5,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2020-01-27T00:00:00,400635.49244583579,5809744.8313537287
873,bnetza,BTB Blockheizkraftwerks- Träger- und Betreibergesellschaft mbH Berlin,Normalladeeinrichtung,12489 Berlin,Rudower Chaussee 19,"","",11,AC Steckdose Typ 2,11,"","","","","","",2019-12-23T00:00:00,400293.50323379767,5809932.0119823907
874,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Rudower Chaussee 25,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-10-30T00:00:00,400117.89696935308,5809848.4559837161
875,bnetza,Allego GmbH,Normalladeeinrichtung,12489 Berlin,Rudower Chaussee 25,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-10-30T00:00:00,400117.89696935308,5809848.4559837161
876,bnetza,BTB Blockheizkraftwerks- Träger- und Betreibergesellschaft mbH Berlin,Normalladeeinrichtung,12489 Berlin,Rutherfordstraße 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2020-01-27T00:00:00,400014.84090737219,5809734.0546573242
877,bnetza,ORLEN Deutschland GmbH,Schnellladeeinrichtung,12527 Berlin,Adlergestell 391,"","",122,AC Steckdose Typ 2,22,"DC Kupplung Combo, DC CHAdeMO",50,"","","","",2019-07-18T00:00:00,402050.7843111332,5809147.1789157726
878,bnetza,Allego GmbH,Normalladeeinrichtung,12555 Berlin,Am Krusenick 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2016-05-31T00:00:00,403739.36163659021,5812215.2218689881
879,bnetza,Allego GmbH,Normalladeeinrichtung,12555 Berlin,Parrisiusstr. 22,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2016-06-13T00:00:00,403410.55823826941,5812830.636515758
880,bnetza,APCOA PARKING Deutschland GmbH,Normalladeeinrichtung,12555 Berlin-Köpenick,Borgmannstr. 12,"","",11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-04-01T00:00:00,403552.05770914262,5812863.3726192014
881,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12619 Berlin,Teterower Ring 43,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-09-28T00:00:00,404077.97034491022,5819980.0742166881
882,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12621 Berlin,Planitzstraße 1,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2011-12-23T00:00:00,404154.71286674484,5818803.0415311027
883,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12623 Berlin,Hönower Straße 89,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-09-28T00:00:00,405818.01068404352,5818990.9796273848
884,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12623 Berlin,Hönower Straße 89,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2018-10-20T00:00:00,405812.6637288885,5818984.7403026642
885,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12623 Berlin,Kastanienallee 1,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-09-28T00:00:00,404982.03784240864,5814948.1584154516
886,bnetza,Allego GmbH,Normalladeeinrichtung,12623 Berlin,Landsberger Str. 178F,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2018-06-15T00:00:00,407135.93745584926,5819448.4857155848
887,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12679 Berlin,Marzahner Promenade 8,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-05-23T00:00:00,401219.96690749971,5822347.9392214939
888,bnetza,Allego GmbH,Normalladeeinrichtung,12681 Berlin,Bitterfelder Str. 12,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2016-10-19T00:00:00,401224.43778737017,5823610.9771836279
889,bnetza,BMW AG,Normalladeeinrichtung,12683 Berlin,Blumberger Damm 2,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2019-05-22T00:00:00,402425.70638275065,5818677.946503764
890,bnetza,Allego GmbH,Normalladeeinrichtung,12683 Berlin,Hanoier Str. 10,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-09-29T00:00:00,401980.70274070365,5818427.5746401157
891,bnetza,Allego GmbH,Normalladeeinrichtung,12683 Berlin,Hanoier Str. 10,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-09-29T00:00:00,401980.70274070365,5818427.5746401157
892,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12683 Berlin,Kulmseestraße 4,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2011-12-23T00:00:00,401890.05335579271,5819159.3066758681
893,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12685 Berlin,Hasenholzer Allee 2,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2011-12-23T00:00:00,403311.7405757528,5822122.350850001
894,bnetza,Allego GmbH,Normalladeeinrichtung,12685 Berlin,Krummenseer Str. 2,"","",11,AC Steckdose Typ 2,11,"","","","","","",2017-12-18T00:00:00,403078.78780090378,5822277.2812838973
895,bnetza,Allego GmbH,Normalladeeinrichtung,12685 Berlin,Krummenseer Str. 2,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2017-12-18T00:00:00,403078.78780090378,5822277.2812838973
896,bnetza,Allego GmbH,Normalladeeinrichtung,12687 Berlin,Max-Hermann-Str,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2016-07-06T00:00:00,402825.40298067848,5823783.2010962758
897,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,12689 Berlin,Havemannstraße 4,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2012-05-23T00:00:00,402860.46940169751,5825411.6956708124
898,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,13053 Berlin,Marzahner Str. 24,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2011-09-28T00:00:00,399618.44286281406,5822625.0996368555
899,bnetza,Allego GmbH,Normalladeeinrichtung,13055 Berlin,Arendsweg 19,"","",11,AC Steckdose Typ 2,11,"","","","","","",2017-05-15T00:00:00,398646.71281640715,5821847.5394967748
900,bnetza,Allego GmbH,Normalladeeinrichtung,13055 Berlin,Arendsweg 19,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2017-05-15T00:00:00,398646.71281640715,5821847.5394967748
901,bnetza,Allego GmbH,Normalladeeinrichtung,13055 Berlin,Bahnhofstr. ggü. 6,"","",22,"AC Steckdose Typ 2, AC Schuko",11,AC Steckdose Typ 2,11,"","","","",2015-12-23T00:00:00,398192.5819695589,5822684.8228816343
